ID_sample,Loci,Raw,Adapt
ADE_25_01190,MiFishU,4218601,1029713
ADE_25_01190,rbcLrouge,4218601,91350
ADE_25_01190,rbcLverte,4218601,97807
ADE_25_01191,12S160,5158464,819195
ADE_25_01191,18SV9,5158464,724867
ADE_25_01191,COIB1,5158464,2425233
ADE_25_01191,MiFishU,5158464,935270
ADE_25_01191,rbcLrouge,5158464,105530
ADE_25_01191,rbcLverte,5158464,105376
ADE_25_01192,12S160,3663440,1482113
ADE_25_01192,18SV9,3663440,752009
ADE_25_01192,COIB1,3663440,448
ADE_25_01192,MiFishU,3663440,1128376
ADE_25_01192,rbcLrouge,3663440,136832
ADE_25_01192,rbcLverte,3663440,124883
ADE_25_01193,12S160,5904633,659611
ADE_25_01193,18SV9,5904633,1326961
ADE_25_01193,COIB1,5904633,1460504
ADE_25_01193,MiFishU,5904633,2136137
ADE_25_01193,rbcLrouge,5904633,114009
ADE_25_01193,rbcLverte,5904633,157325
ADE_25_01194,12S160,8912780,1801171
ADE_25_01194,18SV9,8912780,3010167
ADE_25_01194,COIB1,8912780,1420341
ADE_25_01194,MiFishU,8912780,2303859
ADE_25_01194,rbcLrouge,8912780,124980
ADE_25_01194,rbcLverte,8912780,139590
ADE_25_01195,12S160,4561314,1184276
ADE_25_01195,18SV9,4561314,1125848
ADE_25_01195,COIB1,4561314,676848
ADE_25_01195,MiFishU,4561314,1147319
ADE_25_01195,rbcLrouge,4561314,179090
ADE_25_01195,rbcLverte,4561314,136090
ADE_25_01196,12S160,1780583,560936
ADE_25_01196,18SV9,1780583,633291
ADE_25_01196,COIB1,1780583,7
ADE_25_01196,MiFishU,1780583,132656
ADE_25_01196,rbcLrouge,1780583,149932
ADE_25_01196,rbcLverte,1780583,99061
ADE_25_01197,12S160,5141638,1138528
ADE_25_01197,18SV9,5141638,1501158
ADE_25_01197,COIB1,5141638,1171022
ADE_25_01197,MiFishU,5141638,1030874
ADE_25_01197,rbcLrouge,5141638,117726
ADE_25_01197,rbcLverte,5141638,141834
ADE_25_01198,12S160,3654863,1308212
ADE_25_01198,18SV9,3654863,653505
ADE_25_01198,COIB1,3654863,883888
ADE_25_01198,MiFishU,3654863,567375
ADE_25_01198,rbcLrouge,3654863,117443
ADE_25_01198,rbcLverte,3654863,92722
ADE_25_01199,12S160,5026833,1767170
ADE_25_01199,18SV9,5026833,617561
ADE_25_01199,COIB1,5026833,978215
ADE_25_01199,MiFishU,5026833,1427331
ADE_25_01199,rbcLrouge,5026833,84808
ADE_25_01199,rbcLverte,5026833,110411
ADE_25_01200,12S160,5822353,1504814
ADE_25_01200,18SV9,5822353,815871
ADE_25_01200,COIB1,5822353,1659483
ADE_25_01200,MiFishU,5822353,1533415
ADE_25_01200,rbcLrouge,5822353,151343
ADE_25_01200,rbcLverte,5822353,103455
ADE_25_01201,12S160,4243214,811741
ADE_25_01201,18SV9,4243214,550486
ADE_25_01201,COIB1,4243214,1056478
ADE_25_01201,MiFishU,4243214,1578922
ADE_25_01201,rbcLrouge,4243214,102719
ADE_25_01201,rbcLverte,4243214,106415
ADE_25_01202,12S160,6332941,1546095
ADE_25_01202,18SV9,6332941,660538
ADE_25_01202,COIB1,6332941,1730506
ADE_25_01202,MiFishU,6332941,2093806
ADE_25_01202,rbcLrouge,6332941,139082
ADE_25_01202,rbcLverte,6332941,103226
ADE_25_01203,12S160,4726629,622717
ADE_25_01203,18SV9,4726629,930842
ADE_25_01203,COIB1,4726629,1683386
ADE_25_01203,MiFishU,4726629,1175839
ADE_25_01203,rbcLrouge,4726629,79806
ADE_25_01203,rbcLverte,4726629,178491
ADE_25_01204,12S160,6476740,828613
ADE_25_01204,18SV9,6476740,994362
ADE_25_01204,COIB1,6476740,2700922
ADE_25_01204,MiFishU,6476740,1417496
ADE_25_01204,rbcLrouge,6476740,311751
