ID,Loci,Remove,Reads,N
ADE_25_01250_12S160,12S160,299360,Adapt,1049595
ADE_25_01251_12S160,12S160,337900,Dada2,966128
ADE_25_01251_12S160,12S160,337900,Adapt,1304028
ADE_25_01252_12S160,12S160,541204,Dada2,796796
ADE_25_01252_12S160,12S160,541204,Adapt,1338000
ADE_25_01253_12S160,12S160,539880,Dada2,573745
ADE_25_01253_12S160,12S160,539880,Adapt,1113625
ADE_25_01254_12S160,12S160,548935,Dada2,1774138
ADE_25_01254_12S160,12S160,548935,Adapt,2323073
ADE_25_01255_12S160,12S160,517477,Dada2,2227174
ADE_25_01255_12S160,12S160,517477,Adapt,2744651
ADE_25_01256_12S160,12S160,764829,Dada2,549227
ADE_25_01256_12S160,12S160,764829,Adapt,1314056
ADE_25_01257_12S160,12S160,410047,Dada2,679842
ADE_25_01257_12S160,12S160,410047,Adapt,1089889
ADE_25_01258_12S160,12S160,534482,Dada2,559852
ADE_25_01258_12S160,12S160,534482,Adapt,1094334
ADE_25_01259_12S160,12S160,333325,Dada2,903070
ADE_25_01259_12S160,12S160,333325,Adapt,1236395
ADE_25_01260_12S160,12S160,571330,Dada2,423505
ADE_25_01260_12S160,12S160,571330,Adapt,994835
ADE_25_01261_12S160,12S160,1096480,Dada2,200790
ADE_25_01261_12S160,12S160,1096480,Adapt,1297270
ADE_25_01262_12S160,12S160,435323,Dada2,1636493
ADE_25_01262_12S160,12S160,435323,Adapt,2071816
ADE_25_01263_12S160,12S160,638367,Dada2,418436
ADE_25_01263_12S160,12S160,638367,Adapt,1056803
ADE_25_01264_12S160,12S160,739210,Dada2,635478
ADE_25_01264_12S160,12S160,739210,Adapt,1374688
ADE_25_01265_12S160,12S160,920394,Dada2,181825
ADE_25_01265_12S160,12S160,920394,Adapt,1102219
ADE_25_01266_12S160,12S160,1490253,Dada2,3647
ADE_25_01266_12S160,12S160,1490253,Adapt,1493900
ADE_25_01267_12S160,12S160,1304669,Dada2,26706
ADE_25_01267_12S160,12S160,1304669,Adapt,1331375
ADE_25_01268_12S160,12S160,455668,Dada2,194840
ADE_25_01268_12S160,12S160,455668,Adapt,650508
ADE_25_01269_12S160,12S160,1045730,Dada2,411871
ADE_25_01269_12S160,12S160,1045730,Adapt,1457601
ADE_25_01270_12S160,12S160,735379,Dada2,361830
ADE_25_01270_12S160,12S160,735379,Adapt,1097209
ADE_25_01271_12S160,12S160,290112,Dada2,555806
ADE_25_01271_12S160,12S160,290112,Adapt,845918
ADE_25_01272_12S160,12S160,637801,Dada2,308941
ADE_25_01272_12S160,12S160,637801,Adapt,946742
ADE_25_01273_12S160,12S160,392714,Dada2,351014
ADE_25_01273_12S160,12S160,392714,Adapt,743728
ADE_25_01274_12S160,12S160,1116418,Dada2,147622
ADE_25_01274_12S160,12S160,1116418,Adapt,1264040
ADE_25_01275_12S160,12S160,619631,Dada2,632810
ADE_25_01275_12S160,12S160,619631,Adapt,1252441
ADE_25_01276_12S160,12S160,900626,Dada2,319994
ADE_25_01276_12S160,12S160,900626,Adapt,1220620
ADE_25_01277_12S160,12S160,1223828,Dada2,248437
ADE_25_01277_12S160,12S160,1223828,Adapt,1472265
ADE_25_01278_12S160,12S160,1086130,Dada2,176601
ADE_25_01278_12S160,12S160,1086130,Adapt,1262731
ADE_25_01279_12S160,12S160,1696677,Dada2,186396
ADE_25_01279_12S160,12S160,1696677,Adapt,1883073
ADE_25_01280_12S160,12S160,707649,Dada2,622666
ADE_25_01280_12S160,12S160,707649,Adapt,1330315
ADE_25_01281_12S160,12S160,1571525,Dada2,179485
ADE_25_01281_12S160,12S160,1571525,Adapt,1751010
ADE_25_01282_12S160,12S160,1003348,Dada2,268325
ADE_25_01282_12S160,12S160,1003348,Adapt,1271673
ADE_25_01283_12S160,12S160,566229,Dada2,11063
ADE_25_01283_12S160,12S160,566229,Adapt,577292
ADE_25_01284_12S160,12S160,465177,Dada2,1388584
ADE_25_01284_12S160,12S160,465177,Adapt,1853761
ADE_25_01285_12S160,12S160,423328,Dada2,1229266
ADE_25_01285_12S160,12S160,423328,Adapt,1652594
ADE_25_01286_12S160,12S160,625060,Dada2,1135980
ADE_25_01286_12S160,12S160,625060,Adapt,1761040
ADE_25_01287_12S160,12S160,452751,Dada2,667388
ADE_25_01287_12S160,12S160,452751,Adapt,1120139
ADE_25_01288_12S160,12S160,1238461,Dada2,280368
ADE_25_01288_12S160,12S160,1238461,Adapt,1518829
ADE_25_01289_12S160,12S160,478612,Dada2,652031
ADE_25_01289_12S160,12S160,478612,Adapt,1130643
ADE_25_01290_12S160,12S160,221716,Dada2,590360
ADE_25_01290_12S160,12S160,221716,Adapt,812076
ADE_25_01291_12S160,12S160,480590,Dada2,1344272
ADE_25_01291_12S160,12S160,480590,Adapt,1824862
ADE_25_01292_12S160,12S160,679482,Dada2,620403
ADE_25_01292_12S160,12S160,679482,Adapt,1299885
ADE_25_01293_12S160,12S160,471396,Dada2,1146942
ADE_25_01293_12S160,12S160,471396,Adapt,1618338
ADE_25_01294_12S160,12S160,428202,Dada2,2067872
ADE_25_01294_12S160,12S160,428202,Adapt,2496074
ADE_25_01295_12S160,12S160,395040,Dada2,836304
ADE_25_01295_12S160,12S160,395040,Adapt,1231344
ADE_25_01296_12S160,12S160,634550,Dada2,648095
ADE_25_01296_12S160,12S160,634550,Adapt,1282645
ADE_25_01297_12S160,12S160,620221,Dada2,1115156
ADE_25_01297_12S160,12S160,620221,Adapt,1735377
ADE_25_01298_12S160,12S160,396329,Dada2,485736
ADE_25_01298_12S160,12S160,396329,Adapt,882065
ADE_25_01299_12S160,12S160,407361,Dada2,511241
ADE_25_01299_12S160,12S160,407361,Adapt,918602
ADE_25_01300_12S160,12S160,300130,Dada2,1148260
ADE_25_01300_12S160,12S160,300130,Adapt,1448390
ADE_25_01301_12S160,12S160,525327,Dada2,1057118
ADE_25_01301_12S160,12S160,525327,Adapt,1582445
ADE_25_01302_12S160,12S160,562524,Dada2,619473
ADE_25_01302_12S160,12S160,562524,Adapt,1181997
ADE_25_01303_12S160,12S160,287352,Dada2,734553
ADE_25_01303_12S160,12S160,287352,Adapt,1021905
ADE_25_01304_12S160,12S160,156388,Dada2,444347
ADE_25_01304_12S160,12S160,156388,Adapt,600735
ADE_25_01305_12S160,12S160,221644,Dada2,847116
ADE_25_01305_12S160,12S160,221644,Adapt,1068760
ADE_25_01306_12S160,12S160,265002,Dada2,1206676
ADE_25_01306_12S160,12S160,265002,Adapt,1471678
ADE_25_01307_12S160,12S160,312128,Dada2,3
ADE_25_01307_12S160,12S160,312128,Adapt,312131
ADE_25_01308_12S160,12S160,257574,Dada2,935827
ADE_25_01308_12S160,12S160,257574,Adapt,1193401
ADE_25_01309_12S160,12S160,270605,Dada2,886939
ADE_25_01309_12S160,12S160,270605,Adapt,1157544
ADE_25_01310_12S160,12S160,1299656,Dada2,214554
ADE_25_01310_12S160,12S160,1299656,Adapt,1514210
ADE_25_01311_12S160,12S160,614896,Dada2,1184202
ADE_25_01311_12S160,12S160,614896,Adapt,1799098
ADE_25_01312_12S160,12S160,965322,Dada2,20305
ADE_25_01312_12S160,12S160,965322,Adapt,985627
ADE_25_01313_12S160,12S160,680197,Dada2,173390
ADE_25_01313_12S160,12S160,680197,Adapt,853587
ADE_25_01314_12S160,12S160,389846,Dada2,370984
ADE_25_01314_12S160,12S160,389846,Adapt,760830
ADE_25_01315_12S160,12S160,647030,Dada2,148599
ADE_25_01315_12S160,12S160,647030,Adapt,795629
ADE_25_01316_12S160,12S160,698699,Dada2,331173
ADE_25_01316_12S160,12S160,698699,Adapt,1029872
ADE_25_01317_12S160,12S160,443460,Dada2,480357
ADE_25_01317_12S160,12S160,443460,Adapt,923817
ADE_25_01318_12S160,12S160,413510,Dada2,378915
ADE_25_01318_12S160,12S160,413510,Adapt,792425
ADE_25_01319_12S160,12S160,423642,Dada2,905577
ADE_25_01319_12S160,12S160,423642,Adapt,1329219
ADE_25_01320_12S160,12S160,568618,Dada2,45
ADE_25_01320_12S160,12S160,568618,Adapt,568663
ADE_25_01321_12S160,12S160,214442,Dada2,1115614
ADE_25_01321_12S160,12S160,214442,Adapt,1330056
ADE_25_01322_12S160,12S160,244280,Dada2,1083808
ADE_25_01322_12S160,12S160,244280,Adapt,1328088
ADE_25_01323_12S160,12S160,284563,Dada2,1298218
ADE_25_01323_12S160,12S160,284563,Adapt,1582781
ADE_25_01324_12S160,12S160,398342,Dada2,318639
ADE_25_01324_12S160,12S160,398342,Adapt,716981
ADE_25_01325_12S160,12S160,776075,Dada2,446173
ADE_25_01325_12S160,12S160,776075,Adapt,1222248
ADE_25_01326_12S160,12S160,508637,Dada2,370453
ADE_25_01326_12S160,12S160,508637,Adapt,879090
ADE_25_01327_12S160,12S160,677811,Dada2,313488
ADE_25_01327_12S160,12S160,677811,Adapt,991299
ADE_25_01328_12S160,12S160,341114,Dada2,400433
ADE_25_01328_12S160,12S160,341114,Adapt,741547
ADE_25_01329_12S160,12S160,224930,Dada2,946860
ADE_25_01329_12S160,12S160,224930,Adapt,1171790
ADE_25_01330_12S160,12S160,314323,Dada2,812418
ADE_25_01330_12S160,12S160,314323,Adapt,1126741
ADE_25_01331_12S160,12S160,373005,Dada2,593413
ADE_25_01331_12S160,12S160,373005,Adapt,966418
ADE_25_01332_12S160,12S160,526371,Dada2,1561490
ADE_25_01332_12S160,12S160,526371,Adapt,2087861
ADE_25_01333_12S160,12S160,669049,Dada2,1
ADE_25_01333_12S160,12S160,669049,Adapt,669050
ADE_25_01334_12S160,12S160,386073,Dada2,454740
ADE_25_01334_12S160,12S160,386073,Adapt,840813
ADE_25_01335_12S160,12S160,251729,Dada2,774958
ADE_25_01335_12S160,12S160,251729,Adapt,1026687
ADE_25_01336_12S160,12S160,368159,Dada2,745306
ADE_25_01336_12S160,12S160,368159,Adapt,1113465
ADE_25_01337_12S160,12S160,639886,Dada2,206716
ADE_25_01337_12S160,12S160,639886,Adapt,846602
ADE_25_01338_12S160,12S160,361777,Dada2,1830798
ADE_25_01338_12S160,12S160,361777,Adapt,2192575
ADE_25_01339_12S160,12S160,1047752,Dada2,339486
ADE_25_01339_12S160,12S160,1047752,Adapt,1387238
