ID_sample,Loci,Merge,Final,ESVlength
ADE_25_01340,COIB1,981454,972485,980830
ADE_25_01341,COIB1,463433,389767,463229
ADE_25_01342,COIB1,638331,557081,637991
ADE_25_01343,COIB1,642090,555759,641807
ADE_25_01344,COIB1,112377,86893,111106
ADE_25_01345,COIB1,462402,354172,460338
ADE_25_01346,COIB1,591958,560780,591222
ADE_25_01347,COIB1,1339374,1213178,1339336
ADE_25_01348,COIB1,1643451,1485656,1643409
ADE_25_01349,COIB1,1347063,1217228,1346980
ADE_25_01350,COIB1,1898834,1645920,1898571
ADE_25_01351,COIB1,1520128,1315888,1519851
ADE_25_01352,COIB1,1792557,1549779,1792306
ADE_25_01353,COIB1,951224,846458,950945
ADE_25_01354,COIB1,764051,676139,763589
ADE_25_01355,COIB1,746503,678187,745968
ADE_25_01356,COIB1,893067,742569,893008
ADE_25_01357,COIB1,1416184,1174344,1415922
ADE_25_01358,COIB1,935889,775388,935649
ADE_25_01359,COIB1,75520,75489,75489
ADE_25_01360,COIB1,878954,757983,878685
ADE_25_01361,COIB1,975589,846349,975415
ADE_25_01362,COIB1,809673,701113,809367
ADE_25_01363,COIB1,2330345,2059156,2330204
ADE_25_01364,COIB1,1646053,1457304,1646016
ADE_25_01365,COIB1,1888864,1654703,1888693
ADE_25_01366,COIB1,410278,311858,408687
ADE_25_01367,COIB1,297650,238853,296213
ADE_25_01368,COIB1,196255,145719,193794
ADE_25_01369,COIB1,924311,760445,923834
ADE_25_01370,COIB1,703713,614971,703186
ADE_25_01371,COIB1,1035323,911682,1035137
ADE_25_01372,COIB1,30345,30284,30284
ADE_25_01373,COIB1,502658,417750,502465
ADE_25_01374,COIB1,283868,232676,283650
ADE_25_01375,COIB1,798500,666717,798219
ADE_25_01376,COIB1,521922,372153,520582
ADE_25_01377,COIB1,421072,350153,420753
ADE_25_01378,COIB1,432426,345236,431398
ADE_25_01379,COIB1,1286927,1267293,1286832
ADE_25_01380,COIB1,659718,565472,659230
ADE_25_01381,COIB1,688664,581420,688408
ADE_25_01382,COIB1,577503,473960,576810
ADE_25_01383,COIB1,398196,339279,395130
ADE_25_01384,COIB1,512126,461414,510526
ADE_25_01385,COIB1,344156,281212,338839
ADE_25_01386,COIB1,765954,764947,765954
ADE_25_01387,COIB1,792263,676806,792102
